"Site","Array","Lat","Lon","Depth","Type","Cluster","Method","Notes","LatDD","LonDD","Distance.to.Port","Distance.to.Shore","n","Rare","Acer","Mean.Length","Skew","Kurt","CV","H","J","Sp.rich","Rugosity","Sed.max","Sed.mean","Relief.max","Relief.mean"
"Experimental 5","S4","26 00.003","80 06.474",4.9,"Fragment","Y","Cement","",26.00005,-80.1079,9750,846,62,16,6,13.7741935483871,1.75801162711076,5.25279360581062,28.2797303948397,1.61453008429248,0.776424848658265,8,0.9435,1,0.2,28,11.25
"Experimental 5","X23","25 59.983","80 06.457",5.2,"Fragment","Y","Cement","",25.99971667,-80.10761667,9750,846,38,3,0,10.0263157894737,1.53466026539561,4.27369182830237,20.0002421336609,1.12972734059397,0.701939063238156,5,0.9385,1,0.3,28,14.2
"Experimental 6","G13","26 00.694","80 06.413",6.6,"Fragment","Y","Cement","",26.01156667,-80.10688333,8420,883,145,28,2,12.3655172413793,2.05427294224848,7.36916048825753,25.0114181328812,1.67792751837366,0.763657723330165,9,0.8295,1,0.05,55,24
"Experimental 6","G18","26 00.670","80 06.425",7.3,"Fragment","Y","Cement","",26.01116667,-80.10708333,8420,883,84,22,4,14.0892857142857,1.54542833317636,5.16151444286002,26.0751069872721,1.81380700428653,0.787726373199106,10,0.8485,4,0.7,31,17.75
"Experimental 6","G22","26 00.740","80 06.401",6.4,"Microfrag","Y","Cement","",26.01233333,-80.10668333,8420,883,86,15,0,15.7732558139535,1.4704747753601,4.31187914959439,29.008854637041,1.71278735649534,0.779523119376271,9,0.894,2,0.4,45,23.7
"Experimental 6","G24","26 00.679","80 06.419",6.7,"Fragment","Y","Cement","",26.01131667,-80.10698333,8420,883,84,16,1,13.7559523809524,1.436555220627,4.71414676639978,25.7081747670955,1.66980957193413,0.725189082920222,10,0.8305,1,0.2,68,20.65
"Experimental 6","G25","26 00.698","80 06.397",7.8,"Fragment","Y","Cement","",26.01163333,-80.10661667,8420,883,94,36,6,15.3989361702128,1.02560181469438,3.37294927271541,26.0188866203738,1.91724575942746,0.872576148657416,9,0.8575,1,0.15,50,24
"Experimental 6","G35","26 00.720","80 06.397",6.7,"Microfrag","Y","Cement","",26.012,-80.10661667,8420,883,88,23,0,12.0340909090909,1.36835492159197,4.27235526843927,23.4788241471616,1.76970070387015,0.909446258209449,7,0.8925,3,0.55,30,18.05
"Experimental 6","GC37","26 00.705","80 06.390",7.6,"Fragment","Y","Cement","",26.01175,-80.1065,8420,883,67,30,1,16.7611940298507,1.44792417228071,3.76244974987211,32.1553482662527,1.88336182083525,0.857154903627797,9,0.9165,3,0.55,30,19.8
"North Hub","G26","","",6.7,"Fragment","N","Cement","",26.14421667,-80.0898,6395,1199,171,38,0,10.5146198830409,1.23942527679194,4.60271245051913,19.2192602009939,1.67523003106226,0.69862518603961,11,0.868,1,0.25,115,39.15
"North Hub","G27","26 08.653","80 05.388 ",7,"Fragment","N","Cement","",26.14421667,-80.0898,6395,1199,142,22,0,11.2429577464789,1.52915449909263,5.9248035934403,21.1247845014741,1.60442677400855,0.771566183443873,8,0.783,1,0.15,60,31
"North Hub","X28","","",8.2,"Microfrag","Y","Cement","",26.1432,-80.0898,6395,1199,359,98,0,9.72980501392758,1.92199169355048,6.95759456107265,19.07424655773,1.97173469608828,0.768722661269091,13,0.7285,0,0,69,41.75
"South Commercial","H22","26 11.129","80 05.356",5.5,"Fragment","Y","Epoxy","",26.18548333,-80.08926667,11051,562,19,5,4,12.8947368421053,2.10414994297798,6.82857681901513,28.0585055417596,1.51366350478222,0.940492014689135,5,0.928,10,3.15,31,13.2
"South Commercial","H25","26 11.151","80 05.351",4.9,"Fragment","Y","Epoxy","",26.18585,-80.08918333,11051,562,100,15,8,11.365,2.22682136709993,8.50070594569809,23.4279642501105,1.29326565594358,0.621929316127273,8,0.89,7,1.2,20,11.25
"South Commercial","H28","26 11.162","80 05.359",5.5,"Fragment","Y","Epoxy","",26.18603333,-80.08931667,11051,562,104,34,28,16.8221153846154,1.45453503002372,3.79261208672311,31.8503438720573,1.75938595003984,0.800731053251195,9,0.852,10,2.8,23,13.65
"South Commercial","H29","26 11.198","80 05.345",4.3,"Fragment","Y","Epoxy","",26.18663333,-80.08908333,11051,562,64,11,6,7.9296875,2.50313087160879,7.265664160401,12.3012281565011,1.54716087011075,0.744027104922078,8,0.941,4,1,30,15.8
"South Commercial","H30","26 11.214","80 05.330",3.7,"Fragment","Y","Epoxy","",26.1869,-80.08883333,11051,562,43,12,7,8.84883720930233,2.11526779314031,6.0403353201714,17.2465375037566,1.6279424439812,0.836596923435299,7,0.9125,3,1.3,30,12.8
"South Commercial","HC1","26 11.183","80 05.349",4.6,"Sexual recruit","N","","",26.18638333,-80.08915,11051,562,110,64,58,11.9272727272727,1.5401229501011,5.23209470679082,23.3154330771236,1.38084379757435,0.62844909519827,9,0.894,5,1,25,11.85
"South Commercial","HC2","26 11.194","80 05.353",4.9,"Sexual recruit","N","","",26.18656667,-80.08921667,11051,562,67,16,7,9.94776119402985,2.92466914366158,10.8003392302181,22.8332256953761,1.6680520328986,0.857209174693085,7,0.912,5,1.3,18,13.15
"South Commercial","S5","26 11.130","80 05.336",4.3,"Fragment","Y","Cement","",26.1855,-80.08893333,11051,562,69,7,1,9.30434782608696,1.89457989437194,5.50759846784241,18.4152103457467,1.38318632675093,0.710817160505805,7,0.8985,1,0.4,25,17.15
"South Commercial","S6","26 11.134","80 05.348",4.6,"Fragment","Y","Cement","",26.18556667,-80.08913333,11051,562,84,10,7,10.7678571428571,2.59974105812389,9.41665222717348,24.1220495835421,1.11998152087951,0.62507358834388,6,0.899,3,0.95,21,11.3
"South Commercial","S7","26 11.197","80 05.329",3.7,"Fragment","Y","Cement","",26.18661667,-80.08881667,11051,562,41,19,14,13.609756097561,1.05352683690765,3.90135188490012,23.8317708709432,1.5114363351225,0.776724627216863,7,0.9285,1,0.45,30,15.15
"South Hub","G28","","",10.4,"Fragment","N","Cement","",25.97681667,-80.1,12348,1779,124,44,0,9.99596774193548,1.93785924851957,7.3567086090726,19.6719550266447,1.4993588473679,0.625281205720936,11,0.88,6,0.55,59,27.2
"South Hub","G29","","",10.7,"Fragment","N","Cement","",25.97681667,-80.1,12348,1779,138,64,0,8.92028985507246,1.44628213020412,3.30349838613352,15.9514636559773,1.63471744560178,0.70994876609583,10,0.8685,4,0.3,40,23.65
"South Hub","X29","25 58.609","80 06.000",9.8,"Microfrag","Y","Cement","",25.977,-80.1,12348,1779,79,25,0,11.8860759493671,0.650114399493756,2.4020782077429,20.245949367985,1.47901286351316,0.642327125287692,10,0.8895,2,0.55,44,16.55
"Staghorn City","H20","26 12.054","80 05.292",4.6,"Fragment","Y","Epoxy","",26.2009,-80.0882,12595,422,94,6,0,8.3563829787234,1.8591772600772,4.45654008438818,14.1199589907232,1.18139982066041,0.734044980258771,5,0.912,4,1,27,12.6
"Staghorn City","H21","26 12.040","80 05.293",4.6,"Fragment","Y","Epoxy","",26.20066667,-80.08821667,12595,422,76,0,0,10.0065789473684,1.26551435647051,3.05684231111333,19.3887087846626,1.03050143988751,0.743349658477322,4,0.9,5,1.15,23,15.55
"Staghorn City","H23","26 12.007","80 05.303",4.8,"Fragment","Y","Epoxy","",26.20011667,-80.08838333,12595,422,49,4,2,10.8571428571429,1.38349646726246,3.56356162407743,22.1719818452294,1.28501037125335,0.798421834931121,5,0.893,12,0.9,48,12.1
"Staghorn City","H24","26 12.001","80 05.306",5.2,"Fragment","Y","Epoxy","",26.20001667,-80.08843333,12595,422,32,7,1,8.421875,3.49033596846533,14.6318368936949,16.6004299498126,1.65433322986565,0.850159104555152,7,0.907,3,1.15,31,13.2
"Staghorn City","HC4","26 12.020","80 05.296",4.6,"Sexual recruit","N","","",26.20033333,-80.08826667,12595,422,65,7,0,8.74615384615385,2.02060800053666,5.66928075933345,16.4106049236541,1.26629884514588,0.786795710081628,5,0.8755,4,1.3,23,13.7
"Staghorn City","HC6","26 12.037","80 05.295",4.3,"Sexual recruit","N","","",26.20061667,-80.08825,12595,422,36,5,1,12.9444444444444,2.1517591158104,7.15580042459585,27.4884440863571,1.36115087168543,0.759672765827132,6,0.8975,1,0.65,37,14
"Staghorn City","S2","26 12.031","80 05.281",4.6,"Fragment","Y","Cement","",26.20051667,-80.08801667,12595,422,67,8,0,9.11940298507463,2.35728259683093,8.40933502120447,18.1072246956699,1.29665174911865,0.666347184502911,7,0.891,1,0.8,29,17.15
"Staghorn City","S3","26 11.989","80 05.296",4.6,"Fragment","Y","Cement","",26.19981667,-80.08826667,12595,422,96,5,0,9.80729166666667,1.19639236555759,2.87852151022798,18.4355535628127,1.12798980078011,0.579672088830885,7,0.8465,1,0.35,29,12.3
"Staghorn City","X15","26 11.992","80 05.305",5.5,"Fragment","Y","Cement","",26.19986667,-80.08841667,12595,422,48,4,0,9.86458333333333,3.06968735196654,13.3852350409844,21.3077525698099,1.37514104158049,0.76748082831282,6,0.9015,5,1.15,66,22.15
"Staghorn City","X30","26 12.015","80 05.308",4.9,"Microfrag","Y","Cement","",26.20025,-80.08846667,12595,422,44,3,0,9.70454545454546,3.39527976229936,16.0121815548623,20.7854551388366,1.23056371770934,0.887664086518574,4,0.89,4,1.1,49,16.95
"West Copenhagen","XC10","26 12.354","80 05.152",4.3,"Fragment","Y","Cement","",26.2059,-80.08586667,13186,559,193,19,11,11.6010362694301,1.01722962698442,3.82361964913944,20.4931212808434,1.04330766400324,0.501724930992973,8,0.9065,2,0.9,25,10.9
"West Copenhagen","XC6","26 12.325","80 05.156",4.6,"Sexual recruit","N","Cement","",26.20541667,-80.08593333,13186,559,253,9,3,8.6600790513834,2.26271163661524,7.20157780656872,16.1147855977412,0.854490006949826,0.410922831838563,8,0.8845,2,0.7,79,21.1
"West Copenhagen","XC7","26 12.339","80 05.164",4.6,"Fragment","Y","Cement","",26.20565,-80.08606667,13186,559,198,4,0,10.0732323232323,1.13670410247074,3.00114438839105,18.7163665347695,1.01101127451036,0.628176624086927,5,0.9405,2,0.7,37,8.5
"West Copenhagen","XC8","26 12.362","80 05.172",6.7,"Fragment","Y","Cement","",26.20603333,-80.0862,13186,559,184,30,22,13.4402173913043,0.531612439459402,2.88101913226552,20.5462713395069,1.12601349629527,0.512470827019594,9,0.898,1,0.9,22,9.1
